step,posterior_p_L
1,0.25
2,0.125
3,0.0625
4,0.03125
5,0.015625
6,0.0078125
7,0.00390625
8,0.001953125
9,0.0009765625
10,0.00048828125
11,0.000244140625
12,0.0001220703125
13,6.103515625e-05
14,3.0517578125e-05
15,1.52587890625e-05
16,7.62939453125e-06
17,3.814697265625e-06
18,1.9073486328125e-06
19,9.5367431640625e-07
20,4.76837158203125e-07
21,2.384185791015625e-07
22,1.1920928955078125e-07
23,5.960464477539063e-08
24,2.9802322387695312e-08
25,1.4901161193847656e-08
26,7.450580596923828e-09
27,3.725290298461914e-09
28,1.862645149230957e-09
29,9.313225746154785e-10
30,4.656612873077393e-10
31,2.3283064365386963e-10
32,1.1641532182693481e-10
33,5.820766091346741e-11
34,2.9103830456733704e-11
35,1.4551915228366852e-11
36,7.275957614183426e-12
37,3.637978807091713e-12
38,1.8189894035458565e-12
39,9.094947017729282e-13
40,4.547473508864641e-13
41,2.2737367544323206e-13
42,1.1368683772161603e-13
43,5.684341886080802e-14
44,2.842170943040401e-14
45,1.4210854715202004e-14
46,7.105427357601002e-15
47,3.552713678800501e-15
48,1.7763568394002505e-15
49,8.881784197001252e-16
50,4.440892098500626e-16
