id,type,delay,adoption_time,contract
0,L,0,0,S
1,L,0,0,S
2,L,0,0,S
3,L,0,0,S
5,L,0,0,S
7,L,0,0,S
8,L,0,0,S
9,L,0,0,S
10,L,0,0,S
11,L,0,0,S
12,L,0,0,S
13,L,0,0,S
14,L,0,0,S
15,L,0,0,S
16,L,0,0,S
17,L,0,0,S
19,L,0,0,S
21,L,0,0,S
22,L,0,0,S
23,L,0,0,S
25,L,0,0,S
26,L,0,0,S
27,L,0,0,S
29,L,0,0,S
32,L,0,0,S
34,L,0,0,S
35,L,0,0,S
37,L,0,0,S
39,L,0,0,S
41,L,0,0,S
42,L,0,0,S
43,L,0,0,S
44,L,0,0,S
45,L,0,0,S
46,L,0,0,S
47,L,0,0,S
48,L,0,0,S
49,L,0,0,S
50,L,0,0,S
51,L,0,0,S
52,L,0,0,S
54,L,0,0,S
55,L,0,0,S
56,L,0,0,S
58,L,0,0,S
59,L,0,0,S
61,L,0,0,S
62,L,0,0,S
63,L,0,0,S
66,L,0,0,S
67,L,0,0,S
68,L,0,0,S
69,L,0,0,S
70,L,0,0,S
73,L,0,0,S
74,L,0,0,S
75,L,0,0,S
77,L,0,0,S
78,L,0,0,S
79,L,0,0,S
80,L,0,0,S
81,L,0,0,S
82,L,0,0,S
84,L,0,0,S
85,L,0,0,S
87,L,0,0,S
88,L,0,0,S
89,L,0,0,S
90,L,0,0,S
91,L,0,0,S
93,L,0,0,S
94,L,0,0,S
95,L,0,0,S
97,L,0,0,S
100,L,0,0,S
102,L,0,0,S
103,L,0,0,S
104,L,0,0,S
105,L,0,0,S
106,L,0,0,S
107,L,0,0,S
108,L,0,0,S
111,L,0,0,S
112,L,0,0,S
113,L,0,0,S
116,L,0,0,S
117,L,0,0,S
118,L,0,0,S
119,L,0,0,S
121,L,0,0,S
123,L,0,0,S
124,L,0,0,S
125,L,0,0,S
126,L,0,0,S
130,L,0,0,S
131,L,0,0,S
134,L,0,0,S
135,L,0,0,S
136,L,0,0,S
139,L,0,0,S
140,L,0,0,S
141,L,0,0,S
142,L,0,0,S
144,L,0,0,S
145,L,0,0,S
146,L,0,0,S
148,L,0,0,S
149,L,0,0,S
151,L,0,0,S
152,L,0,0,S
153,L,0,0,S
154,L,0,0,S
155,L,0,0,S
156,L,0,0,S
157,L,0,0,S
158,L,0,0,S
159,L,0,0,S
160,L,0,0,S
161,L,0,0,S
162,L,0,0,S
165,L,0,0,S
166,L,0,0,S
167,L,0,0,S
168,L,0,0,S
169,L,0,0,S
171,L,0,0,S
172,L,0,0,S
175,L,0,0,S
176,L,0,0,S
177,L,0,0,S
178,L,0,0,S
179,L,0,0,S
181,L,0,0,S
183,L,0,0,S
184,L,0,0,S
185,L,0,0,S
187,L,0,0,S
188,L,0,0,S
189,L,0,0,S
190,L,0,0,S
191,L,0,0,S
192,L,0,0,S
194,L,0,0,S
196,L,0,0,S
197,L,0,0,S
